Pressure,T_IC,T_HEC
28.67,1.84495,1.84495
27.69,1.90712,1.90712
27.14,1.93625,1.93625
26.44,1.98089,1.98089
25.8,2.03036,2.03036
23.5,2.08855,2.12443
23.27,2.10504,2.14576
23.03,2.11861,2.15254
22.78,2.13218,2.16612
22.52,2.1477,2.17678
22.27,2.15545,2.1826
22.02,2.16321,2.18842
21.81,2.17096,2.19423
21.6,2.17678,2.1952
21.51,2.1826,2.20199
26.44554,1.98103,1.98103
25.8,2.02943,2.03044
25.6,2.02634,2.03898
25.5,2.0333,2.04084
25.4,2.03991,2.04937
25.3,2.04242,2.05506
25.2,2.04424,2.06065
25.1,2.05019,2.05769
25,2.05589,2.06674
24.75,2.06645,2.07292
24.5,2.06726,2.07577
24.25,2.07693,2.08325
24,2.07925,2.09902
23.75,2.0779,2.1055
23.5,2.08848,2.12417
23.25,2.1056,2.14383
23,2.11623,2.1518
21.4,2.18396,2.20873
21.3,2.18819,2.21204
21.1,2.19598,2.216
21.05,2.19877,2.20962
21,2.20003,2.21343
20.95,2.19804,2.21417
20.9,2.20835,2.21552
26,1.992,1.992
27,1.934,1.934
29.3,1.814,1.814
