Presure,HEC,IC
18.86,,2.149
18.867,,2.158
18.89,,2.13
19.76,,2.115
20.025,2.184,
20.255,2.198,
20.47,2.181,
20.553,2.146,
20.563,2.141,
20.563,,2.114
20.7277,,2.113
20.919,2.121,
21,2.123,2.123
21.5357,2.102,2.102
21.696,2.084,2.084
22.0626,2.058,2.058
23,2.012,2.012
23.255,,
24,1.959,1.959
24.865,1.951,1.951
25,1.949,1.949
26,1.928,1.928
27,1.901,1.901
27,1.903,1.903
29.3,1.814,1.814
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,2.02,2.02
,,
,2.1,
,,2.07
,,
,2.025,2.025
,,
,2.06,2.06
,,
,,
,,
,,
,2.122,
,,2.0815
,,
,2.123,
,,2.082
