Dbeta1,,Dbeta2,,Dbeta3,,Dbeta4,,Dbeta5,
X,Y,X,Y,X,Y,X,Y,X,Y
0,-0.004830917874396191,0,-0.024154589371980735,0,-0.015700483091787495,0,-0.025362318840579767,0,-0.07850241545893724
5,-0.010567632850241537,5,-0.06400966183574879,5,-0.025664251207729465,5,-0.05042270531400965,5,-0.19897342995169082
10,-0.016304347826086953,10,-0.09269323671497587,10,-0.03230676328502416,10,-0.07729468599033817,10,-0.28683574879227053
15,-0.02022946859903381,15,-0.12137681159420288,15,-0.041666666666666644,15,-0.10929951690821255,15,-0.34752415458937197
20,-0.025664251207729465,20,-0.13556763285024154,20,-0.04045893719806763,20,-0.13979468599033815,20,-0.402475845410628
25,-0.029891304347826095,25,-0.15428743961352656,25,-0.04196859903381643,25,-0.18055555555555555,25,-0.4338768115942029
30,-0.033514492753623185,30,-0.16817632850241546,30,-0.04257246376811592,30,-0.2330917874396135,30,-0.44655797101449274
34,-0.035185185185185236,34,-0.17648953301127218,34,-0.041223832528180404,34,-0.28156199677938815,34,-0.44219001610305964
