Dbeta1,,Dbeta2,,Dbeta3,,Dbeta4,,Dbeta5,
X,Y,X,Y,X,Y,X,Y,X,Y
2,-0.008756038647342992,2,-0.0398550724637681,2,-0.02083333333333333,2,-0.03653381642512077,4,-0.1742149758454106
4,-0.009057971014492752,4,-0.05495169082125603,4,-0.023852657004830906,4,-0.04498792270531403,6,-0.21376811594202894
6,-0.011171497584541064,6,-0.0682367149758454,6,-0.02687198067632849,6,-0.05464975845410626,8,-0.24879227053140096
8,-0.013586956521739128,8,-0.08001207729468597,8,-0.029287439613526547,8,-0.06551932367149758,10,-0.28260869565217395
10,-0.016304347826086953,10,-0.09088164251207734,10,-0.03230676328502416,10,-0.07729468599033817,12,-0.3103864734299517
12,-0.017814009661835745,12,-0.1017512077294686,12,-0.03592995169082126,12,-0.08907004830917875,14,-0.33544685990338163
14,-0.019021739130434777,14,-0.1117149758454106,14,-0.03955314009661837,14,-0.1023550724637681,16,-0.3589975845410628
16,-0.02143719806763285,16,-0.12047101449275366,16,-0.0413647342995169,16,-0.1156400966183575,18,-0.3804347826086957
18,-0.02385265700483092,18,-0.12862318840579712,18,-0.0413647342995169,18,-0.1277173913043478,20,-0.4006642512077294
20,-0.025664251207729465,20,-0.13677536231884058,20,-0.04045893719806763,20,-0.13979468599033815,22,-0.41515700483091783
22,-0.027475845410628016,22,-0.1446256038647343,22,-0.0413647342995169,22,-0.1554951690821256,24,-0.42723429951690817
24,-0.028683574879227056,24,-0.15126811594202896,24,-0.04166666666666666,24,-0.17210144927536228,26,-0.43749999999999994
26,-0.030495169082125587,26,-0.15730676328502416,26,-0.0419685990338164,26,-0.18991545893719805,28,-0.44353864734299514
28,-0.03170289855072464,28,-0.1627415458937198,28,-0.04196859903381642,28,-0.21014492753623185,30,-0.4453502415458937
30,-0.033514492753623185,30,-0.16696859903381642,30,-0.04257246376811592,30,-0.23128019323671495,32,-0.4447463768115942
0,-0.004830917874396191,32,-0.17179951690821255,32,-0.04196859903381642,32,-0.25785024154589364,34,-0.4432367149758454
34,-0.0339774557165862,34,-0.17753623188405793,34,-0.041062801932367124,34,-0.2826086956521739,0,-0.07971014492753628
32,-0.03268921095008058,0,-0.025362318840579767,0,-0.014492753623188463,0,-0.0265700483091788,2,-0.12930756843800326
