Dbeta1,,Dbeta2,,Dbeta3,,Dbeta4,,Dbeta5,
X,Y,X,Y,X,Y,X,Y,X,Y
0,-0.004830918,0,-0.025362319,0,-0.014492754,0,-0.026570048,0,-0.079710145
2,-0.008756039,2,-0.039855072,2,-0.020833333,2,-0.036533816,2,-0.129307568
4,-0.009057971,4,-0.054951691,4,-0.023852657,4,-0.044987923,4,-0.174214976
6,-0.011171498,6,-0.068236715,6,-0.026871981,6,-0.054649758,6,-0.213768116
8,-0.013586957,8,-0.080012077,8,-0.02928744,8,-0.065519324,8,-0.248792271
10,-0.016304348,10,-0.090881643,10,-0.032306763,10,-0.077294686,10,-0.282608696
12,-0.01781401,12,-0.101751208,12,-0.035929952,12,-0.089070048,12,-0.310386473
14,-0.019021739,14,-0.111714976,14,-0.03955314,14,-0.102355072,14,-0.33544686
16,-0.021437198,16,-0.120471014,16,-0.041364734,16,-0.115640097,16,-0.358997585
18,-0.023852657,18,-0.128623188,18,-0.041364734,18,-0.127717391,18,-0.380434783
20,-0.025664251,20,-0.136775362,20,-0.040458937,20,-0.139794686,20,-0.400664251
22,-0.027475845,22,-0.144625604,22,-0.041364734,22,-0.155495169,22,-0.415157005
24,-0.028683575,24,-0.151268116,24,-0.041666667,24,-0.172101449,24,-0.4272343
26,-0.030495169,26,-0.157306763,26,-0.041968599,26,-0.189915459,26,-0.4375
28,-0.031702899,28,-0.162741546,28,-0.041968599,28,-0.210144928,28,-0.443538647
30,-0.033514493,30,-0.166968599,30,-0.042572464,30,-0.231280193,30,-0.445350242
32,-0.032689211,32,-0.171799517,32,-0.041968599,32,-0.257850242,32,-0.444746377
34,-0.033977456,34,-0.177536232,34,-0.041062802,34,-0.282608696,34,-0.443236715
